"Date","SG-Std.","SG-AQR","SG-Armor","SwanGuard","Momentum","Sentiment","DeathX","DoubleX","Delta","McClellan"
"09/01/1988",".55",".00",".00",".0",".00",".00","2.66",".00","50.00",".00"
"09/02/1988",".57",".57",".00",".0",".02",".01","2.66",".01","51.10","91.70"
"09/06/1988",".59",".59",".01",".0",".05",".02","2.66",".03","52.33","98.95"
"09/07/1988",".62",".62",".01","18.5",".07",".02","2.66",".04","53.47","102.26"
"09/08/1988",".64",".64",".02","20.0",".10",".03","2.66",".05","54.52","96.08"
"09/09/1988",".67",".67",".02","20.0",".13",".04","2.66",".07","55.70","105.81"
"09/12/1988",".69",".69",".03","20.0",".15",".05","2.66",".08","56.61","68.53"
"09/13/1988",".71",".71",".04","20.0",".18",".05","2.66",".09","57.56","74.97"
"09/14/1988",".74",".74",".04","20.0",".21",".06","2.66",".11","58.77","109.68"
"09/15/1988",".77",".77",".05","20.0",".24",".07","2.66",".13","59.52","78.53"
"09/16/1988",".80",".80",".06","20.0",".28",".08","2.66",".14","60.65","101.98"
"09/19/1988",".83",".83",".07","20.0",".31",".08","2.66",".16","61.22","48.66"
"09/20/1988",".85",".85",".08","20.0",".35",".09","2.66",".18","61.87","65.93"
"09/21/1988",".88",".88",".09","20.0",".39",".09","2.66",".19","62.51","48.66"
"09/22/1988",".90",".90",".10","20.0",".42",".09","2.66",".21","62.74","1.23"
"09/23/1988",".93",".93",".11","20.0",".45",".09","2.66",".22","63.04","-.36"
"09/26/1988",".95",".95",".12","20.0",".47",".10","2.66",".23","62.99","-36.49"
"09/27/1988",".96",".96",".14","20.0",".50",".10","2.66",".24","62.71","-51.30"
"09/28/1988",".98",".98",".16","20.0",".53",".10","2.66",".26","62.62","-36.96"
"09/29/1988","1.01","1.01",".17","20.0",".57",".10","2.66",".27","63.31","30.76"
"09/30/1988","1.03","1.03",".20","20.0",".60",".11","2.66",".29","63.79","47.51"
"10/03/1988","1.06","1.06",".20","20.0",".63",".11","2.66",".30","63.91","-7.03"
"10/04/1988","1.08","1.08",".20","20.0",".66",".11","2.66",".32","63.80","-25.48"
"10/05/1988","1.10","1.10",".21","20.0",".69",".12","2.66",".33","63.93","3.57"
"10/06/1988","1.12","1.12",".21","20.0",".73",".12","2.66",".34","64.09","15.91"
"10/07/1988","1.16","1.16",".21","20.0",".80",".12","2.66",".37","65.39","81.86"
"10/10/1988","1.20","1.20",".21","20.0",".86",".12","2.66",".39","66.50","61.08"
"10/11/1988","1.23","1.23",".22","20.0",".93",".13","2.66",".42","67.29","23.75"
"10/12/1988","1.26","1.26",".22","20.0",".98",".13","2.66",".43","66.95","-57.73"
"10/13/1988","1.28","1.28",".22","20.0","1.03",".13","2.66",".45","66.80","-44.48"
"10/14/1988","1.31","1.31",".23","20.0","1.07",".13","2.66",".46","66.66","-36.59"
"10/17/1988","1.33","1.33",".23","20.0","1.12",".13","2.66",".48","66.62","-28.91"
"10/18/1988","1.36","1.36",".23","20.0","1.18",".13","2.66",".50","67.12","8.15"
"10/19/1988","1.39","1.39",".23","20.0","1.22",".13","2.66",".52","66.96","-35.61"
"10/20/1988","1.43","1.43",".24","20.0","1.29",".13","2.66",".54","68.00","28.88"
"10/21/1988","1.47","1.47",".24","20.0","1.37",".13","2.66",".57","68.97","26.77"
"10/24/1988","1.51","1.51",".25","20.0","1.43",".14","2.66",".60","69.48","-10.52"
"10/25/1988","1.54","1.54",".25","20.0","1.49",".14","2.66",".62","69.80","-16.87"
"10/26/1988","1.57","1.57",".26","20.0","1.54",".14","2.66",".64","69.73","-41.08"
"10/27/1988","1.59","1.59",".27","20.0","1.58",".14","2.66",".65","68.59","-128.13"
"10/28/1988","1.61","1.61",".27","20.0","1.61",".14","2.66",".66","67.75","-85.08"
"10/31/1988","1.63","1.63",".27","20.0","1.64",".13","2.66",".68","66.99","-80.64"
"11/01/1988","1.64","1.64",".27","20.0","1.67",".13","2.66",".69","66.31","-77.34"
"11/02/1988","1.66","1.66",".27","20.0","1.70",".13","2.66",".70","65.60","-81.00"
"11/03/1988","1.68","1.68",".27","20.0","1.73",".12","2.66",".72","64.97","-60.83"
"11/04/1988","1.68","1.68",".27","20.0","1.75",".12","2.66",".72","63.76","-111.35"
"11/07/1988","1.68","1.68",".26","20.0","1.76",".11","2.66",".72","61.97","-183.82"
"11/08/1988","1.68","1.68",".26","20.0","1.77",".10","2.66",".73","60.63","-127.10"
"11/09/1988","1.68","1.68",".25","20.0","1.78",".08","2.66",".73","59.01","-159.87"
"11/10/1988","1.67","1.67",".24","20.0","1.79",".07","2.66",".73","57.62","-130.91"
"11/11/1988","1.65","1.65",".23","20.0","1.77",".05","2.66",".72","54.99","-203.89"
"11/14/1988","1.62","1.62",".21","20.0","1.76",".03","2.66",".71","52.53","-208.67"
"11/15/1988","1.60","1.60",".20","19.9","1.75",".01","2.66",".70","50.50","-174.96"
"11/16/1988","1.57","1.57",".18","19.9","1.72","-.02","2.66",".69","47.53","-236.75"
"11/17/1988","1.54","1.54",".16","19.5","1.70","-.05","2.66",".67","45.05","-218.65"
"11/18/1988","1.51","1.51",".13","19.2","1.67","-.08","2.66",".66","43.34","-147.60"
"11/21/1988","1.49","1.49",".10","19.1","1.65","-.12","2.66",".65","41.72","-156.80"
"11/22/1988","1.47","1.47",".06","18.9","1.63","-.16","2.66",".64","40.55","-124.88"
"11/23/1988","1.45","1.45",".02","18.6","1.62","-.19","2.66",".64","40.03","-58.82"
"11/25/1988","1.43","1.43",".05","18.5","1.60","-.22","2.66",".63","39.18","-72.30"
"11/28/1988","1.42","1.42",".05","18.4","1.59","-.25","2.66",".62","38.77","-54.30"
"11/29/1988","1.41","1.41",".05","18.1","1.58","-.28","2.66",".62","39.08","2.02"
"11/30/1988","1.41","1.41",".05","18.1","1.59","-.30","2.66",".62","40.08","64.93"
"12/01/1988","1.41","1.41",".05","18.2","1.58","-.32","2.66",".62","40.84","52.01"
"12/02/1988","1.40","1.40",".05","17.9","1.58","-.34","2.66",".62","41.38","31.85"
"12/05/1988","1.41","1.41",".05","17.6","1.59","-.35","2.66",".63","42.55","75.66"
"12/06/1988","1.42","1.42",".05","17.6","1.60","-.35","2.66",".64","44.24","109.67"
"12/07/1988","1.43","1.43",".05","17.5","1.62","-.36","2.66",".65","45.84","120.70"
"12/08/1988","1.44","1.44",".05","17.6","1.63","-.36","2.66",".65","46.89","66.18"
"12/09/1988","1.45","1.45",".05","17.4","1.64","-.36","2.66",".66","47.92","77.28"
"12/12/1988","1.46","1.46",".05","17.4","1.65","-.36","2.66",".67","48.69","58.93"
"12/13/1988","1.46","1.46",".05","17.3","1.66","-.37","2.66",".67","49.26","19.97"
"12/14/1988","1.46","1.46",".05","17.2","1.66","-.37","2.66",".67","49.49","10.01"
"12/15/1988","1.46","1.46",".05","17.2","1.66","-.37","2.66",".68","49.47","-17.85"
"12/16/1988","1.46","1.46",".05","17.0","1.67","-.37","2.66",".68","49.90","43.96"
"12/19/1988","1.48","1.48",".05","16.8","1.69","-.37","2.66",".69","50.74","68.80"
"12/20/1988","1.48","1.48",".05","17.0","1.70","-.37","2.66",".70","51.29","45.02"
"12/21/1988","1.49","1.49",".05","16.9","1.71","-.38","2.66",".70","51.69","29.50"
